CustomerID,Recency,Frequency,Monetary
12347,41,7,1146.59
12348,77,4,550.92
12349,20,1,406.32
12350,312,1,45.6
12352,74,8,426.30000000000007
12353,206,1,11.6
12354,234,1,181.57999999999998
12355,97,1,68.7
12356,129,2,285.0
12357,183,1,1174.51
12358,4,2,403.92
12359,10,6,829.83
12360,54,3,576.18
12361,289,1,16.5
12362,13,11,1036.38
12363,37,2,162.6
12364,42,3,195.6
12365,293,1,71.99000000000001
12367,213,1,33.599999999999994
12370,53,4,694.79
12371,31,1,245.7
12372,36,3,380.48
12373,343,1,104.5
12374,27,1,189.15
12375,12,2,131.70000000000002
12377,317,2,328.32
12378,306,1,858.4399999999999
12379,83,2,198.49999999999997
12380,23,4,235.75
12381,1,3,168.44
12383,10,5,400.9
12384,30,3,75.89
12386,486,1,30.0
12388,17,6,595.5
12390,81,1,70.5
12391,23,1,99.69
12393,40,3,381.25
12394,189,1,56.3
12395,6,10,844.27
12397,137,2,448.78
12398,47,1,335.4
12399,3,3,140.34
12401,100,1,17.85
12403,51,1,285.0
12405,150,1,472.03000000000003
12406,24,3,455.69
12407,51,5,205.5
12408,153,5,576.03
12409,66,3,2235.98
12410,253,2,155.1
12412,76,3,302.21000000000004
12413,10,4,211.85
12414,189,3,195.35
12415,26,17,21529.71
12417,41,10,855.44
12418,114,1,84.48
12420,154,1,180.04
12421,17,5,280.18
12422,170,3,144.75
12423,90,8,353.90999999999997
12424,164,2,321.45000000000005
12425,80,1,96.36
12426,196,1,78.78
12427,23,3,165.6
12428,27,7,1939.74
12429,11,4,553.1
12430,45,1,64.80000000000001
12431,3,14,1110.43
12432,44,4,892.24
12433,11,6,2679.64
12434,86,2,91.49
12435,81,2,724.4
12436,336,1,52.800000000000004
12437,10,18,763.42
12438,16,2,706.57
12441,486,1,28.200000000000003
12442,182,1,84.72
12444,1,5,1006.89
12445,24,1,56.0
12446,59,1,230.85
12447,68,1,45.6
12448,46,1,28.93
12449,24,4,535.6
12450,175,1,20.159999999999997
12451,12,5,1636.51
12452,18,1,69.55000000000001
12453,136,1,219.45
12454,55,2,-676.1000000000001
12455,75,6,592.9
12456,46,4,494.06
12457,88,3,236.04
12458,73,2,161.46
12461,126,1,52.89
12462,20,4,128.67
12463,7,5,295.59
12464,12,4,226.9
12465,19,2,131.1
12468,145,3,156.8
12471,12,28,3523.47
12472,53,12,1326.14
12473,55,5,625.11
12474,4,20,1291.45
12475,55,1,120.4
12476,17,12,1232.83
12477,24,7,3337.23
12478,182,1,130.88
12479,13,1,110.54
12480,30,4,594.02
12481,24,10,1058.67
12483,19,7,597.95
12484,105,5,877.2
12488,11,3,210.78
12489,163,1,15.9
12490,19,10,1254.54
12491,334,1,74.5
12492,107,2,79.24000000000001
12493,167,2,88.3
12494,17,7,134.09
12497,83,1,292.5
12498,23,2,68.85
12500,25,9,745.2299999999999
12501,163,2,532.72
12502,189,5,791.55
